date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:08:23	86251/86251	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20May%202021%2015:21:26%20GMT	https://mobirise.com/extensions/floram4/floral-studio/assets/images/sl3-1050x700.jpg	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/assets/images/sl3-1050x700.jpg	(from https://mobirise.com/extensions/floram4/floral-studio/)
20:08:24	23237/23237	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20May%202021%2015:21:26%20GMT	https://mobirise.com/extensions/floram4/floral-studio/assets/images/gallery1.jpg	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/assets/images/gallery1.jpg	(from https://mobirise.com/extensions/floram4/floral-studio/)
20:08:25	16104/16104	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20May%202021%2015:21:26%20GMT	https://mobirise.com/extensions/floram4/floral-studio/assets/images/portr1.jpg	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/assets/images/portr1.jpg	(from https://mobirise.com/extensions/floram4/floral-studio/)
20:08:26	13637/13637	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20May%202021%2015:21:26%20GMT	https://mobirise.com/extensions/floram4/floral-studio/assets/images/portr2.jpg	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/assets/images/portr2.jpg	(from https://mobirise.com/extensions/floram4/floral-studio/)
20:08:27	11732/11732	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20May%202021%2015:21:26%20GMT	https://mobirise.com/extensions/floram4/floral-studio/assets/images/portr3.jpg	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/assets/images/portr3.jpg	(from https://mobirise.com/extensions/floram4/floral-studio/)
20:08:28	13590/13590	---M--	200	added ('OK')	image/png	date:Tue,%2018%20May%202021%2015:21:26%20GMT	https://mobirise.com/extensions/floram4/floral-studio/assets/images/1.png	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/assets/images/1.png	(from https://mobirise.com/extensions/floram4/floral-studio/)
20:08:29	10669/10669	---M--	200	added ('OK')	image/png	date:Tue,%2018%20May%202021%2015:21:26%20GMT	https://mobirise.com/extensions/floram4/floral-studio/assets/images/5.png	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/assets/images/5.png	(from https://mobirise.com/extensions/floram4/floral-studio/)
20:08:30	22539/22539	---M--	200	added ('OK')	image/png	date:Tue,%2018%20May%202021%2015:21:26%20GMT	https://mobirise.com/extensions/floram4/floral-studio/assets/images/3.png	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/assets/images/3.png	(from https://mobirise.com/extensions/floram4/floral-studio/)
20:08:31	8824/8824	---M--	200	added ('OK')	image/png	date:Tue,%2018%20May%202021%2015:21:26%20GMT	https://mobirise.com/extensions/floram4/floral-studio/assets/images/4.png	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/assets/images/4.png	(from https://mobirise.com/extensions/floram4/floral-studio/)
20:08:32	10963/10963	---M--	200	added ('OK')	image/png	date:Tue,%2018%20May%202021%2015:21:26%20GMT	https://mobirise.com/extensions/floram4/floral-studio/assets/images/6.png	/Users/thanhnguyen/Desktop/GiaKhang%20/GiaKhang/mobirise.com/extensions/floram4/floral-studio/assets/images/6.png	(from https://mobirise.com/extensions/floram4/floral-studio/)
